0,0,"(0, 0)",2198,1,31,0,0
6,6,"(2, 0)",2197,0,0,0,0
6,6,"(2, 1)",2195,0,0,0,0
6,6,"(2, 2)",2200,1,35,0,0
6,6,"(2, 3)",2200,0,0,0,0
6,6,"(2, 4)",2196,0,0,0,0
6,6,"(2, 5)",2198,0,0,0,0
6,6,"(2, 6)",2198,1,36,0,0
6,6,"(2, 7)",2198,0,0,0,0
6,6,"(2, 8)",2198,0,0,0,0
6,6,"(2, 9)",2200,0,0,0,0
6,6,"(3, 0)",2197,0,0,0,0
6,6,"(3, 1)",2198,0,0,0,0
6,6,"(3, 2)",2200,0,0,0,0
6,6,"(3, 3)",2198,0,0,1,120
6,6,"(3, 4)",2198,0,0,0,0
6,6,"(3, 5)",2196,0,0,0,0
6,6,"(3, 6)",2200,0,0,0,0
6,6,"(3, 7)",2193,1,37,0,0
6,6,"(3, 8)",2200,0,0,1,120
6,6,"(3, 9)",2200,0,0,0,0
6,6,"(4, 0)",2200,0,0,0,0
6,6,"(4, 1)",2196,0,0,0,0
6,6,"(4, 2)",2193,0,0,0,0
6,6,"(4, 3)",2192,0,0,0,0
6,6,"(4, 4)",2190,1,38,0,0
6,6,"(4, 5)",2193,0,0,1,185
6,6,"(4, 6)",2190,0,0,0,0
6,6,"(4, 7)",2196,0,0,0,0
6,6,"(4, 8)",2200,0,0,0,0
6,6,"(4, 9)",2200,0,0,0,0
6,6,"(5, 0)",2200,0,0,0,0
6,6,"(5, 1)",2193,0,0,0,0
6,6,"(5, 2)",2189,1,38,0,0
6,6,"(5, 3)",2192,0,0,0,0
6,6,"(5, 4)",2194,1,36,0,0
6,6,"(5, 5)",2194,1,38,0,0
6,6,"(5, 6)",2198,0,0,0,0
6,6,"(5, 7)",2197,0,0,0,0
6,6,"(5, 8)",2193,0,0,0,0
6,6,"(5, 9)",2198,1,36,0,0
6,6,"(6, 0)",2200,0,0,0,0
6,6,"(6, 1)",2198,0,0,0,0
6,6,"(6, 2)",2195,2,75,0,0
6,6,"(6, 3)",2198,0,0,0,0
6,6,"(6, 4)",2192,0,0,0,0
6,6,"(6, 5)",2196,0,0,0,0
6,6,"(6, 6)",2198,0,0,0,0
6,6,"(6, 7)",2200,0,0,0,0
6,6,"(6, 8)",2195,1,37,0,0
6,6,"(6, 9)",2188,0,0,0,0
6,6,"(7, 0)",2200,0,0,0,0
6,6,"(7, 1)",2195,0,0,0,0
6,6,"(7, 2)",2197,1,36,0,0
6,6,"(7, 3)",2198,0,0,0,0
6,6,"(7, 4)",2200,0,0,0,0
6,6,"(7, 5)",2195,1,36,0,0
6,6,"(7, 6)",2196,1,35,0,0
6,6,"(7, 7)",2198,0,0,0,0
6,6,"(7, 8)",2196,0,0,0,0
6,6,"(7, 9)",2198,0,0,0,0
7,7,"(0, 0)",2196,0,0,0,0
7,7,"(0, 1)",2200,1,36,0,0
7,7,"(0, 2)",2198,0,0,0,0
7,7,"(0, 3)",2198,0,0,0,0
7,7,"(0, 4)",2192,0,0,0,0
7,7,"(0, 5)",2198,0,0,0,0
7,7,"(0, 6)",2200,0,0,0,0
7,7,"(0, 7)",2200,0,0,0,0
7,7,"(0, 8)",2200,0,0,0,0
7,7,"(0, 9)",2200,0,0,0,0
7,7,"(1, 0)",2195,0,0,0,0
7,7,"(1, 1)",2194,1,35,0,0
7,7,"(1, 2)",2200,0,0,0,0
7,7,"(1, 3)",2191,0,0,0,0
7,7,"(1, 4)",2194,1,35,0,0
7,7,"(1, 5)",2196,1,34,0,0
7,7,"(1, 6)",2200,0,0,0,0
7,7,"(1, 7)",2200,0,0,0,0
7,7,"(1, 8)",2200,0,0,0,0
7,7,"(1, 9)",2200,0,0,0,0
7,7,"(2, 0)",2197,0,0,0,0
7,7,"(2, 1)",2195,0,0,0,0
7,7,"(2, 2)",2200,0,0,1,120
7,7,"(2, 3)",2200,0,0,0,0
7,7,"(2, 4)",2196,0,0,0,0
7,7,"(2, 5)",2198,1,35,0,0
7,7,"(2, 6)",2198,0,0,0,0
7,7,"(2, 7)",2198,0,0,0,0
7,7,"(2, 8)",2198,0,0,0,0
7,7,"(2, 9)",2200,0,0,0,0
7,7,"(3, 0)",2197,0,0,0,0
7,7,"(3, 1)",2198,0,0,0,0
7,7,"(3, 2)",2200,0,0,0,0
7,7,"(3, 3)",2198,1,34,0,0
7,7,"(3, 4)",2198,0,0,0,0
7,7,"(3, 5)",2196,0,0,1,185
7,7,"(3, 6)",2200,0,0,0,0
7,7,"(3, 7)",2193,1,36,0,0
7,7,"(3, 8)",2200,0,0,0,0
7,7,"(3, 9)",2200,0,0,0,0
7,7,"(4, 0)",2200,0,0,0,0
7,7,"(4, 1)",2196,0,0,0,0
7,7,"(4, 2)",2193,0,0,0,0
7,7,"(4, 3)",2192,0,0,0,0
7,7,"(4, 4)",2190,0,0,0,0
7,7,"(4, 5)",2193,0,0,0,0
7,7,"(4, 6)",2190,0,0,0,0
7,7,"(4, 7)",2196,0,0,0,0
7,7,"(4, 8)",2200,0,0,1,120
7,7,"(4, 9)",2200,0,0,0,0
7,7,"(5, 0)",2200,0,0,0,0
7,7,"(5, 1)",2193,0,0,0,0
7,7,"(5, 2)",2189,0,0,0,0
7,7,"(5, 3)",2192,0,0,0,0
7,7,"(5, 4)",2194,0,0,0,0
7,7,"(5, 5)",2194,1,37,0,0
7,7,"(5, 6)",2198,0,0,0,0
7,7,"(5, 7)",2197,0,0,0,0
7,7,"(5, 8)",2193,1,35,0,0
7,7,"(5, 9)",2198,1,36,0,0
7,7,"(6, 0)",2200,0,0,0,0
7,7,"(6, 1)",2198,2,72,0,0
7,7,"(6, 2)",2195,1,37,0,0
7,7,"(6, 3)",2198,1,36,0,0
7,7,"(6, 4)",2192,1,37,0,0
7,7,"(6, 5)",2196,1,35,0,0
7,7,"(6, 6)",2198,0,0,0,0
7,7,"(6, 7)",2200,1,34,0,0
7,7,"(6, 8)",2195,0,0,0,0
7,7,"(6, 9)",2188,0,0,0,0
7,7,"(7, 0)",2200,0,0,0,0
7,7,"(7, 1)",2195,0,0,0,0
7,7,"(7, 2)",2197,0,0,0,0
7,7,"(7, 3)",2198,0,0,0,0
7,7,"(7, 4)",2200,0,0,0,0
7,7,"(7, 5)",2195,0,0,0,0
7,7,"(7, 6)",2196,1,35,0,0
7,7,"(7, 7)",2198,0,0,0,0
7,7,"(7, 8)",2196,0,0,0,0
7,7,"(7, 9)",2198,0,0,0,0
8,8,"(0, 0)",2196,0,0,0,0
8,8,"(0, 1)",2200,0,0,0,0
8,8,"(0, 2)",2198,1,34,0,0
8,8,"(0, 3)",2198,0,0,0,0
8,8,"(0, 4)",2192,0,0,0,0
8,8,"(0, 5)",2198,0,0,0,0
8,8,"(0, 6)",2200,1,33,0,0
8,8,"(0, 7)",2200,0,0,0,0
8,8,"(0, 8)",2200,0,0,0,0
8,8,"(0, 9)",2200,0,0,0,0
8,8,"(1, 0)",2195,1,35,0,0
8,8,"(1, 1)",2194,0,0,0,0
8,8,"(1, 2)",2200,0,0,0,0
8,8,"(1, 3)",2191,0,0,0,0
8,8,"(1, 4)",2194,0,0,0,0
8,8,"(1, 5)",2196,0,0,0,0
8,8,"(1, 6)",2200,0,0,0,0
8,8,"(1, 7)",2200,0,0,0,0
8,8,"(1, 8)",2200,0,0,0,0
8,8,"(1, 9)",2200,0,0,0,0
8,8,"(2, 0)",2197,0,0,0,0
8,8,"(2, 1)",2195,0,0,0,0
8,8,"(2, 2)",2200,0,0,1,120
8,8,"(2, 3)",2200,1,34,0,0
8,8,"(2, 4)",2196,1,34,0,0
8,8,"(2, 5)",2198,0,0,0,0
8,8,"(2, 6)",2198,0,0,0,0
8,8,"(2, 7)",2198,0,0,0,0
8,8,"(2, 8)",2198,1,35,0,0
8,8,"(2, 9)",2200,0,0,0,0
8,8,"(3, 0)",2197,0,0,0,0
8,8,"(3, 1)",2198,0,0,0,0
8,8,"(3, 2)",2200,0,0,0,0
8,8,"(3, 3)",2198,0,0,0,0
8,8,"(3, 4)",2198,0,0,0,0
8,8,"(3, 5)",2196,0,0,0,0
8,8,"(3, 6)",2200,0,0,0,0
8,8,"(3, 7)",2193,0,0,0,0
8,8,"(3, 8)",2200,0,0,0,0
8,8,"(3, 9)",2200,0,0,0,0
8,8,"(4, 0)",2200,0,0,0,0
8,8,"(4, 1)",2196,0,0,0,0
8,8,"(4, 2)",2193,1,33,0,0
8,8,"(4, 3)",2192,0,0,0,0
8,8,"(4, 4)",2190,0,0,0,0
8,8,"(4, 5)",2193,0,0,1,185
8,8,"(4, 6)",2190,0,0,0,0
8,8,"(4, 7)",2196,1,34,0,0
8,8,"(4, 8)",2200,0,0,0,0
8,8,"(4, 9)",2200,0,0,0,0
8,8,"(5, 0)",2200,0,0,0,0
8,8,"(5, 1)",2193,1,36,0,0
8,8,"(5, 2)",2189,0,0,0,0
8,8,"(5, 3)",2192,0,0,0,0
8,8,"(5, 4)",2194,1,36,0,0
8,8,"(5, 5)",2194,0,0,0,0
8,8,"(5, 6)",2198,0,0,0,0
8,8,"(5, 7)",2197,0,0,1,120
8,8,"(5, 8)",2193,0,0,0,0
8,8,"(5, 9)",2198,1,35,0,0
8,8,"(6, 0)",2200,0,0,0,0
8,8,"(6, 1)",2198,1,34,0,0
8,8,"(6, 2)",2195,1,36,0,0
8,8,"(6, 3)",2198,0,0,0,0
8,8,"(6, 4)",2192,1,35,0,0
8,8,"(6, 5)",2196,2,70,0,0
8,8,"(6, 6)",2198,0,0,0,0
8,8,"(6, 7)",2200,0,0,0,0
8,8,"(6, 8)",2195,0,0,0,0
8,8,"(6, 9)",2188,0,0,0,0
8,8,"(7, 0)",2200,0,0,0,0
8,8,"(7, 1)",2195,0,0,0,0
8,8,"(7, 2)",2197,0,0,0,0
8,8,"(7, 3)",2198,0,0,0,0
8,8,"(7, 4)",2200,0,0,0,0
8,8,"(7, 5)",2195,0,0,0,0
8,8,"(7, 6)",2196,2,67,0,0
8,8,"(7, 7)",2198,0,0,0,0
8,8,"(7, 8)",2196,0,0,0,0
8,8,"(7, 9)",2198,0,0,0,0
9,9,"(0, 0)",2196,0,0,0,0
9,9,"(0, 1)",2200,1,34,0,0
9,9,"(0, 2)",2198,0,0,0,0
9,9,"(0, 3)",2198,0,0,0,0
9,9,"(0, 4)",2192,0,0,0,0
9,9,"(0, 5)",2198,0,0,0,0
9,9,"(0, 6)",2200,0,0,0,0
9,9,"(0, 7)",2200,0,0,0,0
9,9,"(0, 8)",2200,0,0,0,0
9,9,"(0, 9)",2200,0,0,0,0
9,9,"(1, 0)",2195,0,0,0,0
9,9,"(1, 1)",2194,1,33,0,0
9,9,"(1, 2)",2200,0,0,0,0
9,9,"(1, 3)",2191,0,0,0,0
9,9,"(1, 4)",2194,0,0,0,0
9,9,"(1, 5)",2196,1,32,0,0
9,9,"(1, 6)",2200,0,0,0,0
9,9,"(1, 7)",2200,0,0,0,0
9,9,"(1, 8)",2200,1,34,0,0
9,9,"(1, 9)",2200,0,0,0,0
9,9,"(2, 0)",2197,0,0,0,0
9,9,"(2, 1)",2195,0,0,0,0
9,9,"(2, 2)",2200,0,0,1,120
9,9,"(2, 3)",2200,1,33,0,0
9,9,"(2, 4)",2196,0,0,0,0
9,9,"(2, 5)",2198,0,0,0,0
9,9,"(2, 6)",2198,0,0,0,0
9,9,"(2, 7)",2198,0,0,0,0
9,9,"(2, 8)",2198,0,0,0,0
9,9,"(2, 9)",2200,0,0,0,0
9,9,"(3, 0)",2197,0,0,0,0
9,9,"(3, 1)",2198,0,0,0,0
9,9,"(3, 2)",2200,1,33,0,0
9,9,"(3, 3)",2198,0,0,0,0
9,9,"(3, 4)",2198,0,0,0,0
9,9,"(3, 5)",2196,0,0,0,0
9,9,"(3, 6)",2200,0,0,0,0
9,9,"(3, 7)",2193,0,0,0,0
9,9,"(3, 8)",2200,0,0,0,0
9,9,"(3, 9)",2200,0,0,0,0
9,9,"(4, 0)",2200,0,0,0,0
9,9,"(4, 1)",2196,1,35,0,0
9,9,"(4, 2)",2193,0,0,0,0
9,9,"(4, 3)",2192,0,0,0,0
9,9,"(4, 4)",2190,0,0,0,0
9,9,"(4, 5)",2193,0,0,0,0
9,9,"(4, 6)",2190,0,0,0,0
9,9,"(4, 7)",2196,1,33,0,0
9,9,"(4, 8)",2200,0,0,0,0
9,9,"(4, 9)",2200,0,0,0,0
9,9,"(5, 0)",2200,0,0,0,0
9,9,"(5, 1)",2193,1,32,0,0
9,9,"(5, 2)",2189,0,0,0,0
9,9,"(5, 3)",2192,0,0,0,0
9,9,"(5, 4)",2194,1,35,0,0
9,9,"(5, 5)",2194,0,0,0,0
9,9,"(5, 6)",2198,0,0,1,185
9,9,"(5, 7)",2197,0,0,0,0
9,9,"(5, 8)",2193,1,34,0,0
9,9,"(5, 9)",2198,0,0,0,0
9,9,"(6, 0)",2200,0,0,0,0
9,9,"(6, 1)",2198,0,0,0,0
9,9,"(6, 2)",2195,0,0,0,0
9,9,"(6, 3)",2198,1,34,0,0
9,9,"(6, 4)",2192,1,35,0,0
9,9,"(6, 5)",2196,1,33,0,0
9,9,"(6, 6)",2198,0,0,0,0
9,9,"(6, 7)",2200,0,0,1,120
9,9,"(6, 8)",2195,0,0,0,0
9,9,"(6, 9)",2188,0,0,0,0
9,9,"(7, 0)",2200,0,0,0,0
9,9,"(7, 1)",2195,0,0,0,0
9,9,"(7, 2)",2197,2,68,0,0
9,9,"(7, 3)",2198,0,0,0,0
9,9,"(7, 4)",2200,0,0,0,0
9,9,"(7, 5)",2195,1,32,0,0
9,9,"(7, 6)",2196,1,33,0,0
9,9,"(7, 7)",2198,0,0,0,0
9,9,"(7, 8)",2196,0,0,0,0
9,9,"(7, 9)",2198,0,0,0,0
10,10,"(0, 0)",2196,0,0,0,0
10,10,"(0, 1)",2200,0,0,0,0
10,10,"(0, 2)",2198,2,65,0,0
10,10,"(0, 3)",2198,0,0,0,0
10,10,"(0, 4)",2192,1,31,0,0
10,10,"(0, 5)",2198,0,0,0,0
10,10,"(0, 6)",2200,0,0,0,0
10,10,"(0, 7)",2200,0,0,0,0
10,10,"(0, 8)",2200,0,0,0,0
10,10,"(0, 9)",2200,0,0,0,0
10,10,"(1, 0)",2195,0,0,0,0
10,10,"(1, 1)",2194,0,0,0,0
10,10,"(1, 2)",2200,1,32,0,0
10,10,"(1, 3)",2191,0,0,0,0
10,10,"(1, 4)",2194,0,0,0,0
10,10,"(1, 5)",2196,0,0,0,0
10,10,"(1, 6)",2200,0,0,0,0
10,10,"(1, 7)",2200,0,0,0,0
10,10,"(1, 8)",2200,0,0,0,0
10,10,"(1, 9)",2200,1,33,0,0
10,10,"(2, 0)",2197,0,0,0,0
10,10,"(2, 1)",2195,0,0,0,0
10,10,"(2, 2)",2200,0,0,0,0
10,10,"(2, 3)",2200,0,0,1,120
10,10,"(2, 4)",2196,0,0,0,0
10,10,"(2, 5)",2198,0,0,0,0
10,10,"(2, 6)",2198,0,0,0,0
10,10,"(2, 7)",2198,0,0,0,0
10,10,"(2, 8)",2198,0,0,0,0
10,10,"(2, 9)",2200,0,0,0,0
10,10,"(3, 0)",2197,0,0,0,0
10,10,"(3, 1)",2198,1,34,0,0
10,10,"(3, 2)",2200,0,0,0,0
10,10,"(3, 3)",2198,0,0,0,0
10,10,"(3, 4)",2198,0,0,0,0
10,10,"(3, 5)",2196,0,0,0,0
10,10,"(3, 6)",2200,0,0,0,0
10,10,"(3, 7)",2193,0,0,0,0
10,10,"(3, 8)",2200,1,32,0,0
10,10,"(3, 9)",2200,0,0,0,0
10,10,"(4, 0)",2200,0,0,0,0
10,10,"(4, 1)",2196,0,0,0,0
10,10,"(4, 2)",2193,0,0,0,0
10,10,"(4, 3)",2192,1,32,0,0
10,10,"(4, 4)",2190,0,0,0,0
10,10,"(4, 5)",2193,0,0,0,0
10,10,"(4, 6)",2190,0,0,0,0
10,10,"(4, 7)",2196,0,0,0,0
10,10,"(4, 8)",2200,0,0,0,0
10,10,"(4, 9)",2200,0,0,0,0
10,10,"(5, 0)",2200,0,0,0,0
10,10,"(5, 1)",2193,1,31,0,0
10,10,"(5, 2)",2189,0,0,0,0
10,10,"(5, 3)",2192,0,0,0,0
10,10,"(5, 4)",2194,0,0,0,0
10,10,"(5, 5)",2194,1,32,0,0
10,10,"(5, 6)",2198,0,0,0,0
10,10,"(5, 7)",2197,0,0,1,185
10,10,"(5, 8)",2193,0,0,0,0
10,10,"(5, 9)",2198,0,0,0,0
10,10,"(6, 0)",2200,0,0,0,0
10,10,"(6, 1)",2198,0,0,0,0
10,10,"(6, 2)",2195,1,32,0,0
10,10,"(6, 3)",2198,1,34,0,0
10,10,"(6, 4)",2192,0,0,0,0
10,10,"(6, 5)",2196,0,0,0,0
10,10,"(6, 6)",2198,0,0,0,0
10,10,"(6, 7)",2200,1,32,0,0
10,10,"(6, 8)",2195,1,33,0,0
10,10,"(6, 9)",2188,0,0,0,0
10,10,"(7, 0)",2200,0,0,0,0
10,10,"(7, 1)",2195,0,0,0,0
10,10,"(7, 2)",2197,1,34,0,0
10,10,"(7, 3)",2198,1,34,0,0
10,10,"(7, 4)",2200,1,33,0,0
10,10,"(7, 5)",2195,0,0,0,0
10,10,"(7, 6)",2196,1,31,0,0
10,10,"(7, 7)",2198,0,0,0,0
10,10,"(7, 8)",2196,0,0,1,120
10,10,"(7, 9)",2198,0,0,0,0
11,11,"(0, 0)",2196,0,0,0,0
11,11,"(0, 1)",2200,0,0,0,0
11,11,"(0, 2)",2198,1,31,0,0
11,11,"(0, 3)",2198,2,63,0,0
11,11,"(0, 4)",2192,0,0,0,0
11,11,"(0, 5)",2198,1,30,0,0
11,11,"(0, 6)",2200,0,0,0,0
11,11,"(0, 7)",2200,0,0,0,0
11,11,"(0, 8)",2200,0,0,0,0
11,11,"(0, 9)",2200,0,0,0,0
11,11,"(1, 0)",2195,0,0,0,0
11,11,"(1, 1)",2194,0,0,0,0
11,11,"(1, 2)",2200,0,0,0,0
11,11,"(1, 3)",2191,0,0,0,0
11,11,"(1, 4)",2194,0,0,0,0
11,11,"(1, 5)",2196,0,0,0,0
11,11,"(1, 6)",2200,0,0,0,0
11,11,"(1, 7)",2200,0,0,0,0
11,11,"(1, 8)",2200,1,32,0,0
11,11,"(1, 9)",2200,0,0,0,0
11,11,"(2, 0)",2197,0,0,0,0
11,11,"(2, 1)",2195,1,33,0,0
11,11,"(2, 2)",2200,0,0,0,0
11,11,"(2, 3)",2200,0,0,0,0
11,11,"(2, 4)",2196,0,0,0,0
11,11,"(2, 5)",2198,0,0,0,0
11,11,"(2, 6)",2198,0,0,0,0
11,11,"(2, 7)",2198,0,0,0,0
11,11,"(2, 8)",2198,0,0,0,0
11,11,"(2, 9)",2200,0,0,0,0
11,11,"(3, 0)",2197,0,0,0,0
11,11,"(3, 1)",2198,0,0,0,0
11,11,"(3, 2)",2200,1,31,0,0
11,11,"(3, 3)",2198,0,0,1,120
11,11,"(3, 4)",2198,0,0,0,0
11,11,"(3, 5)",2196,0,0,0,0
11,11,"(3, 6)",2200,0,0,0,0
11,11,"(3, 7)",2193,0,0,0,0
11,11,"(3, 8)",2200,0,0,0,0
11,11,"(3, 9)",2200,0,0,0,0
11,11,"(4, 0)",2200,0,0,0,0
11,11,"(4, 1)",2196,0,0,0,0
11,11,"(4, 2)",2193,0,0,0,0
11,11,"(4, 3)",2192,0,0,0,0
11,11,"(4, 4)",2190,0,0,0,0
11,11,"(4, 5)",2193,0,0,0,0
11,11,"(4, 6)",2190,0,0,0,0
11,11,"(4, 7)",2196,0,0,1,185
11,11,"(4, 8)",2200,1,31,0,0
11,11,"(4, 9)",2200,0,0,0,0
11,11,"(5, 0)",2200,0,0,0,0
11,11,"(5, 1)",2193,0,0,0,0
11,11,"(5, 2)",2189,0,0,0,0
11,11,"(5, 3)",2192,0,0,0,0
11,11,"(5, 4)",2194,0,0,0,0
11,11,"(5, 5)",2194,0,0,0,0
11,11,"(5, 6)",2198,0,0,0,0
11,11,"(5, 7)",2197,0,0,0,0
11,11,"(5, 8)",2193,0,0,0,0
11,11,"(5, 9)",2198,0,0,0,0
11,11,"(6, 0)",2200,0,0,0,0
11,11,"(6, 1)",2198,0,0,0,0
11,11,"(6, 2)",2195,1,30,0,0
11,11,"(6, 3)",2198,1,33,0,0
11,11,"(6, 4)",2192,0,0,0,0
11,11,"(6, 5)",2196,1,31,0,0
11,11,"(6, 6)",2198,1,30,0,0
11,11,"(6, 7)",2200,1,32,0,0
11,11,"(6, 8)",2195,0,0,0,0
11,11,"(6, 9)",2188,0,0,1,120
11,11,"(7, 0)",2200,0,0,0,0
11,11,"(7, 1)",2195,2,64,0,0
11,11,"(7, 2)",2197,0,0,0,0
11,11,"(7, 3)",2198,0,0,0,0
11,11,"(7, 4)",2200,2,65,0,0
11,11,"(7, 5)",2195,0,0,0,0
11,11,"(7, 6)",2196,0,0,0,0
11,11,"(7, 7)",2198,0,0,0,0
11,11,"(7, 8)",2196,1,31,0,0
11,11,"(7, 9)",2198,0,0,0,0
12,12,"(0, 0)",2196,0,0,0,0
12,12,"(0, 1)",2200,0,0,0,0
12,12,"(0, 2)",2198,0,0,0,0
12,12,"(0, 3)",2198,1,30,0,0
12,12,"(0, 4)",2192,0,0,0,0
12,12,"(0, 5)",2198,0,0,0,0
12,12,"(0, 6)",2200,1,29,0,0
12,12,"(0, 7)",2200,1,31,0,0
12,12,"(0, 8)",2200,0,0,0,0
12,12,"(0, 9)",2200,0,0,0,0
12,12,"(1, 0)",2195,0,0,0,0
12,12,"(1, 1)",2194,0,0,0,0
12,12,"(1, 2)",2200,1,30,0,0
12,12,"(1, 3)",2191,1,31,0,0
12,12,"(1, 4)",2194,0,0,0,0
12,12,"(1, 5)",2196,0,0,0,0
12,12,"(1, 6)",2200,0,0,0,0
12,12,"(1, 7)",2200,0,0,0,0
12,12,"(1, 8)",2200,0,0,0,0
12,12,"(1, 9)",2200,0,0,0,0
12,12,"(2, 0)",2197,0,0,0,0
12,12,"(2, 1)",2195,0,0,0,0
12,12,"(2, 2)",2200,0,0,0,0
12,12,"(2, 3)",2200,0,0,0,0
12,12,"(2, 4)",2196,0,0,1,120
12,12,"(2, 5)",2198,0,0,0,0
